advisory_id,MSS OAR Number,Title,Category,Updated,Rating
105020,MSS-OAR-E01-2022:745.1,"Avaya: bind security, bug fix, and enhancement update (RHSA-2022-2092)",Avaya,2022-06-13T18:51:51.000Z,Kyndryl Advisory
105019,MSS-OAR-E01-2022:744.1,Avaya: python-lxml security update (RHSA-2022-1932),Avaya,2022-06-10T15:52:30.000Z,Kyndryl Advisory
105018,MSS-OAR-E01-2022:743.1,Avaya: keepalived security and bug fix update (RHSA-2022-1930),Avaya,2022-06-10T15:52:24.000Z,Kyndryl Advisory
105017,MSS-OAR-E01-2022:742.1,Avaya: container-tools:2.0 security update (RHSA-2022-1566),Avaya,2022-06-10T15:52:14.000Z,Kyndryl Advisory
105016,MSS-OAR-E01-2022:741.1,Avaya: maven:3.5 security update (RHSA-2022-1861),Avaya,2022-06-10T15:52:05.000Z,Kyndryl Advisory
105015,MSS-OAR-E01-2022:740.1,Avaya: glibc security update (RHSA-2022-0896),Avaya,2022-06-10T15:51:59.000Z,Kyndryl Advisory
105014,MSS-OAR-E01-2022:739.1,Avaya: maven:3.5 security update (RHSA-2022-4798),Avaya,2022-06-10T15:46:20.000Z,Kyndryl Advisory
105013,MSS-OAR-E01-2022:738.1,Advisory for testing purposes,AIX-eFIX,2022-06-10T15:37:02.000Z,Kyndryl Advisory
105012,MSS-OAR-E01-2022:737.1,Test,AIX,2022-05-12T12:27:43.000Z,Critical
105011,MSS-OAR-E01-2022:736.1,TEST2,AIX,2022-05-12T12:09:27.000Z,Kyndryl Advisory
105010,MSS-OAR-E01-2022:735.1,Test,AIX,2022-05-12T12:07:53.000Z,Kyndryl Advisory
105009,MSS-OAR-E01-2022:734.1,TEST,AIX,2022-05-12T11:11:07.000Z,Kyndryl Advisory
105008,MSS-OAR-E01-2022:733.2,Test Critical,AIX,2022-05-11T19:48:16.000Z,Critical
105007,MSS-OAR-E01-2022:732.1,Test,AIX,2022-05-11T19:43:18.000Z,Kyndryl Advisory
105006,MSS-OAR-E01-2022:731.1,Adobe: KAPS AND RCP TEST for Reader  | APSB11-11,Adobe,2022-03-11T14:09:37.000Z,Kyndryl Advisory
105005,MSS-OAR-E01-2022:730.1,Microsoft 2022 KAPS AND RCP TEST,Microsoft,2022-03-11T14:06:02.000Z,Kyndryl Advisory
105004,MSS-OAR-E01-2022:729.1,Novell: SUSE-SU-2022:1111-1: KAPS AND RCP Test,Novell SuSE,2022-03-11T14:02:52.000Z,Kyndryl Advisory
105003,MSS-OAR-E01-2022:728.1,Ubuntu: [USN-1111-1] KAPS AND RCP TEST,Ubuntu,2022-03-11T13:57:49.000Z,Kyndryl Advisory
89997,MSS-OAR-E01-2020:1079.2,[RHSA-2020:0707-01] Important: http-parser security update,Red Hat Linux,2022-03-09T12:45:20.000Z,Critical
97306,MSS-OAR-E01-2021:0381.2,IBM: Vulnerability in gencore affects AIX (CVE-2020-4887),AIX,2022-03-09T12:42:59.000Z,Low
101346,MSS-OAR-E01-2021:4184.2,Oracle: [El-errata] ELSA-2021-2988 Important: Oracle Linux 8 varnish:6 security update,Oracle,2022-03-09T12:41:21.000Z,Kyndryl Advisory
101413,MSS-OAR-E01-2021:4283.2,Oracle: [El-errata] ELSA-2021-9397 Important: Oracle Linux Cloud Native Environment 1.2 olcne security update,Oracle,2022-03-09T12:38:45.000Z,Low
101414,MSS-OAR-E01-2021:4284.2,Oracle: [El-errata] ELSA-2021-9398 Important: Oracle Linux Cloud Native Environment 1.3 olcne security update,Oracle,2022-03-09T12:37:27.000Z,Low
97770,MSS-OAR-E01-2021:0814.2,VMSA-2021-0001-vSphere Replication updates address a command injection vulnerability (CVE-2021-21976),VMware,2022-03-09T12:33:28.000Z,Critical
85268,MSS-OAR-E01-2019:3044.7,"VMSA-2019-0010: VMware product updates address Linux kernel vulnerabilities in TCP Selective Acknowledgement (SACK) (CVE-2019-11477, CVE-2019-11478)",VMware,2022-03-09T12:19:55.000Z,Low
97526,MSS-OAR-E01-2021:0592.2,Vulnerabilities in OpenSSL used by AIX,AIX,2022-03-03T11:04:39.000Z,Low
100779,MSS-OAR-E01-2021:3643.2,Red Hat: [RHSA-2021:2465-01] Moderate: Red Hat build of Eclipse Vert.x 4.1.0 security update,Red Hat Linux,2022-03-03T11:02:33.000Z,Low
100954,MSS-OAR-E01-2021:3791.2,Red Hat: [RHSA-2021:2704-01] Moderate: Release of OpenShift Serverless Client kn 1.16.0,Red Hat Linux,2022-03-02T13:25:02.000Z,Low
100780,MSS-OAR-E01-2021:3644.2,Red Hat: [RHSA-2021:2664-01] Important: Ansible security and bug fix update (2.9.23),Red Hat Linux,2022-03-02T13:24:04.000Z,Kyndryl Advisory
100778,MSS-OAR-E01-2021:3642.2,Red Hat: [RHSA-2021:2663-01] Important: Ansible security and bug fix update (2.9.23),Red Hat Linux,2022-03-02T13:22:20.000Z,Low
101312,MSS-OAR-E01-2021:4150.4,IBM Security Bulletin: Vulnerability in ksh affects AIX (CVE-2021-29741),AIX,2022-03-02T13:19:47.000Z,Low
103673,MSS-OAR-E01-2021:6698.3,IBM Tivoli: Security Bulletin: Vulnerability in BIND affects AIX (CVE-2021-25215),AIX,2022-03-02T13:18:00.000Z,Critical
104421,MSS-OAR-E01-2022:121.3,Novell: SUSE-SU-2021:3657-1: important: Security update for bind,Novell SuSE,2022-03-02T13:06:29.000Z,Kyndryl Advisory
96800,MSS-OAR-E01-2020:7504.2,IBM: Vulnerability in BIND affects AIX (CVE-2020-8622),AIX,2022-03-02T13:05:44.000Z,Low
104419,MSS-OAR-E01-2022:119.2,Novell: SUSE-SU-2021:3611-1: moderate: Security update for systemd,Novell SuSE,2022-03-02T13:01:40.000Z,Kyndryl Advisory
104420,MSS-OAR-E01-2022:120.2,Novell: SUSE-SU-2021:3652-1: moderate: Security update for pcre,Novell SuSE,2022-03-02T13:00:30.000Z,Kyndryl Advisory
93637,MSS-OAR-E01-2020:4502.3,Microsoft August 2020 Security Updates,Microsoft,2022-03-02T12:58:43.000Z,Kyndryl Advisory
77769,MSS-OAR-E01-2018:2312.8,Microsoft Guidance for Speculative Store Bypass (ADV180012),Microsoft,2022-03-02T12:49:42.000Z,Medium
77504,MSS-OAR-E01-2018:2057.2,CredSSP Remote Code Execution Vulnerability (CVE-2018-0886),Microsoft,2022-03-02T12:45:19.000Z,Critical
77501,MSS-OAR-E01-2018:2054.2,Microsoft May 2018 Security Updates,Microsoft,2022-03-02T11:38:37.000Z,High
105002,MSS-OAR-E01-2022:727.1,Mozilla: Security Vulnerabilities fixed in Firefox 97 — Mozilla,Firefox,2022-02-08T09:54:50.000Z,Kyndryl Advisory
105001,MSS-OAR-E01-2022:726.1,Mozilla: Security Vulnerabilities fixed in Firefox ESR 91.6 — Mozilla,Firefox,2022-02-08T09:54:32.000Z,Kyndryl Advisory
105000,MSS-OAR-E01-2022:725.1,Ubuntu: [USN-5264-1] Graphviz vulnerabilities,Ubuntu,2022-02-08T09:53:15.000Z,Kyndryl Advisory
104999,MSS-OAR-E01-2022:724.1,IBM PSIRT: IBM Cloud Private is vulnerable to FasterXML jackson-databind vulnerabilities,IBM Other,2022-02-08T09:38:21.000Z,Kyndryl Advisory
104998,MSS-OAR-E01-2022:723.1,IBM PSIRT: IBM Cloud Private is vulnerable to FasterXML jackson-databind vulnerabilities (CVE-2020-35728),IBM Other,2022-02-08T09:38:07.000Z,Kyndryl Advisory
104997,MSS-OAR-E01-2022:722.1,IBM PSIRT: IBM Cloud Private is vulnerable to FasterXML jackson-databind vulnerabilities (CVE-2021-20190),IBM Other,2022-02-08T09:37:49.000Z,Kyndryl Advisory
